site,burial,sex,age,layer,section,quadrant,half_A_B,half_C_D,component,element_1,element_2,bone,area,side,P1,P2,P3,mosaic,longitudinal,transversal,curved,bulls_eye,deformation,twisting,concretion,red_brown,yellow,green,manganese,cm_0_1,cm_1_2,cm_2_3,cm_3_4,cm_4_5,over_cm_5,weight_gr,total_element,total_urn,total_section,total_half_A_B,total_half_C_D
VFT,15,ND,Adult (20-40 yrs),2,upper,5,half_A,half_C,S,UL,Ep,H,Di,R,,,1,1,,,,,,,,,,,,,,1,,,,0.68,1,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),2,upper,5,half_A,half_C,C,UL,D,H,I,I,,,2,1,1,1,1,,1,,2,,,,,,,,1,1,,7.63,2,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),2,upper,5,half_A,half_C,Lo,UL,D,H,P,I,,,1,,,,,,,,1,,,,,,,1,,,,0.82,1,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),3,central,9,half_A,half_C,S,UL,Ep,H,P,I,,,2,1,,,,,,,1,,,,,,,,2,,,6.05,2,2248,862,829,825
VFT,15,ND,Adult (20-40 yrs),3,central,9,half_A,half_C,C,UL,D,H,I,I,,,3,,2,,1,,1,1,3,,,,,,,1,1,,1,12.1,3,2248,862,829,825
VFT,15,ND,Adult (20-40 yrs),3,central,10,half_B,half_C,Lo,UL,D,H,I,I,,,7,,1,,7,,,,7,,,,,,4,2,,1,,14.12,7,2248,862,1000,825
VFT,15,ND,Adult (20-40 yrs),3,central,10,half_B,half_C,Lo,UL,Ep,H,Di,I,,,1,1,,,1,,,,,,,,,,1,,,,,1.26,1,2248,862,1000,825
VFT,15,ND,Adult (20-40 yrs),3,central,12,half_A,half_D,Lo,UL,Ep,H,P,I,,,2,1,,,,,1,,,,,,,,,1,1,,,5.78,2,2248,862,829,1004
VFT,15,ND,Adult (20-40 yrs),5,lower,20,half_A,half_D,Lo ,UL,D,H,I,I,,,2,,,,2,1,,,2,,,,,,,1,,,1,10.6,2,2248,562,829,1004
VFT,15,ND,Adult (20-40 yrs),2,upper,8,half_A,half_D,Ir,UL,Car,Ham,I,R,,,1,,,,,,,,,,,,,1,,,,,,0.18,1,2248,824,829,1004
VFT,15,ND,Adult (20-40 yrs),1,upper,1,half_A,half_C,F,T,R,I,P,L,,,1,,1,1,,,,,1,,,,,,,1,,,,1.28,1,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),1,upper,1,half_A,half_C,F,T,R,I,I,I,,,3,1,1,2,,,,,,,,,,,3,,,,,1.11,3,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),1,upper,1,half_A,half_C,C,LB,D,I,I,I,,,3,,,,,,,,1,,,,,2,,,1,,,1.12,3,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),1,upper,1,half_A,half_C,F,CB,Cr,I,I,I,,,5,1,,,,,,,4,,,,,2,,2,1,,,4.38,5,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),1,upper,1,half_A,half_C,S,SB,I,I,I,I,,,2,,,,,,,,2,,,,,1,1,,,,,0.26,2,2248,824,829,825
VFT,15,ND,Adult (20-40 yrs),1,upper,2,half_B,half_C,F,UL,Sc,I,I,I,,,2,,1,,1,,,,1,,,,,,1,1,,,,1.59,2,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),1,upper,2,half_B,half_C,F,CB,Cr,I,I,I,,,16,3,,,,,3,,8,,,,,,9,5,2,,,12.26,16,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),1,upper,2,half_B,half_C,F,T,R,I,I,I,,1,,,,,,,,,1,,,,,,,,1,,,2.6,1,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),1,upper,2,half_B,half_C,F,T,R,I,I,I,,,4,,2,,2,,,,3,,,,,,3,1,,,,2.13,4,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),1,upper,2,half_B,half_C,C,LB,D,I,I,I,,,6,,,1,,,,,,,,,,1,5,,,,,1.16,6,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),1,upper,2,half_B,half_C,C,LB,D,I,I,I,,1,,,,,,,,,1,,,,,,,1,,,,0.35,1,2248,824,1000,825
VFT,15,ND,Adult (20-40 yrs),1,upper,2,half_B,half_C,S,SB,I,I,I,I,,,14,3,,,,,,,3,,,,,5,8,1,,,,3.33,14,2248,824,1000,825
